site,mrccode,schooldistrictlocation,schooldistrictcode,schoollevel,schoollevelcode,schoolid,schoolcode,schoolname,
Morungatuny,47,Amuria,107,Primary,2,0001,21070001,Atauso primary school,
Morungatuny,47,Amuria,107,Primary,2,0002,21070002,Ogangai primary school,
Morungatuny,47,Amuria,107,Primary,2,0003,21070003,Ococia Integrated primary school,
Morungatuny,47,Amuria,107,Primary,2,0004,21070004,Joy Nursary and primary school,
Morungatuny,47,Amuria,107,Primary,2,0005,21070005,Odekere primary school,
Morungatuny,47,Amuria,107,Primary,2,0006,21070006,Orungo parents Nursary and primary,
Morungatuny,47,Amuria,107,Primary,2,0007,21070007,ALERE primary school,
Morungatuny,47,Amuria,107,Primary,2,0008,21070008,Ayola primary school,
Morungatuny,47,Amuria,107,Primary,2,0009,21070009,Living hope Education center,
Morungatuny,47,Amuria,107,Primary,2,0010,21070010,ANGOROM Primary school,
Morungatuny,47,Kapelebyong,224,Primary,2,0001,22240001,Obalanga primary school,
Buwaiswa,61,Mbale City,228,Primary,2,0001,22280001,Namatala primary school,
Buwaiswa,61,Mayuge,181,Primary,1,0001,11810001,Madina Islamic nursary school,
Buwaiswa,61,Mayuge,181,Primary,2,0001,21810001,Buwaya C/U primary school,
Buwaiswa,61,Mayuge,181,Primary,2,0002,21810002,Buwaiswa primary school,
Buwaiswa,61,Mayuge,181,Primary,2,0003,21810003,St. Amos Junior school,
Buwaiswa,61,Mayuge,181,Primary,2,0004,21810004,Kabingire Muslem primary school,
Buwaiswa,61,Mayuge,181,Primary,2,0005,21810005,Four Corners Glory Nursary and primary,
Buwaiswa,61,Mayuge,181,Primary,2,0006,21810006,Hilton Junior Day and Boarding primary,
Buwaiswa,61,Mayuge,181,Primary,2,0007,21810007,Nakisenye Primary school,
Buwaiswa,61,Mayuge,181,Primary,2,0008,21810008,St. Mary primary school,
Buwaiswa,61,Mayuge,181,Primary,2,0009,21810009,St. Moses prime Academy,
Buwaiswa,61,Mayuge,181,Primary,2,0010,21810010,Vine Hope Nursary and primary school,
Kigandalo,62,Mayuge,181,Primary,2,0011,21810011,Kigandalo primary school,
Kigandalo,62,Mayuge,181,Primary,2,0012,21810012,Desire Primary school,
Kigandalo,62,Mayuge,181,Primary,2,0013,21810013,God Care Primary school,
Kigandalo,62,Mayuge,181,Primary,2,0014,21810014,Walukuba primary school,
Kigandalo,62,Mayuge,181,Primary,2,0015,21810015,Elim Yung star Junior school,
Kigandalo,62,Mayuge,181,Primary,2,0016,21810016,St.  Charles Lwanga Nakidubuli primary school,
Kigandalo,62,Mayuge,181,Primary,2,0017,21810017,Peterson memorial primary school,
Kigandalo,62,Mayuge,181,Primary,2,0018,21810018,Sunrise primary school,
Kigandalo,62,Mayuge,181,Primary,2,0019,21810019,Shine Rise Junior school  ,
Kyatiri,12,Masindi,180,Primary,2,0001,21800001,St Mary's Kyatiri primary School,
Kyatiri,12,Masindi,180,Primary,2,0002,21800002,Melody Primary School,
Kyatiri,12,Masindi,180,Primary,2,0003,21800003,St Kizito Murro Primary school  ,
Kyatiri,12,Kiryandogo,159,Primary,2,0001,21590001,Diima Primary School,
Diima,14,Masindi,180,Primary,2,0004,21800004,New good foundation Primary school,
Diima,14,Masindi,180,Primary,2,0005,21800005,Echo Primary school,
Diima,14,Masindi,180,Primary,2,0006,21800006,Alengo Primary School,
Kyatiri,12,Masindi,180,Primary,2,0007,21800007,Blessed Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0001,22020001,Koch Goma Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0002,22020002,Koch Goma Central Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0003,22020003,Lila Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0004,22020004,Little Rock Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0005,22020005,Laliya Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0006,22020006,St Peters Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0007,22020007,Baptist Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0008,22020008,Lukutu Parents Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0009,22020009,Police Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0010,22020010,Cornerstone Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0011,22020011,Eclipse Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0012,22020012,Holy Trinity Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0013,22020013,Koch Lee Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0014,22020014,Koch Ongako Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0015,22020015,Labourline Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0016,22020016,Latanya Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0017,22020017,Mother Angioletta Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0018,22020018,Palabir Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0019,22020019,Prolar Christian Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0020,22020020,Purongo Hill Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0021,22020021,St Joe Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0022,22020022,St Mauritz Primary School,
Koch Goma,21,Nwoya ,202,Primary,2,0023,22020023,Star Light Primary School,
Atiak,23,Amuru,108,Primary,2,0001,21080001,Oliya Primary School,
Atiak,23,Amuru,108,Primary,2,0002,21080002,St Paul Primary School,
Atiak,23,Amuru,108,Primary,2,0003,21080003,Mary Mother of God Primary School,
Atiak,23,Amuru,108,Primary,2,0004,21080004,Olwongu Primary School,
Atiak,23,Amuru,108,Primary,2,0005,21080005,Pongdwongo Primary School,
Atiak,23,Amuru,108,Primary,2,0006,21080006,Pupwonya Primary School,
Atiak,23,Amuru,108,Primary,2,0007,21080007,Cornerstone Primary School,
Atiak,23,Amuru,108,Primary,2,0008,21080008,Cox Primary School,
Atiak,23,Kiryandogo,159,Primary,2,0002,21590002,Karuma Primary School,
Atiak,23,Amuru,108,Primary,2,0009,21080009,Karutu Primary School,
Atiak,23,Kiryandogo,159,Primary,2,0003,21590003,Kigumba Centre Primary School,
Atiak,23,Amuru,108,Primary,2,0010,21080010,Labongo Primary School,
Atiak,23,Amuru,108,Primary,2,0011,21080011,Okidi Primary School,
